plot,date collected,species,sex,weight (g),scale calibrated
2,20130716,DM,F,abs,NA
7,20130716,DM,M,33,Y
3,20130716,DM,M,abs,NA
1,20130716,DM,M,abs,NA
3,20130718,DM,M,40,Y
7,20130718,DM,M,48,Y
4,20130718,DM,F,29,Y
6,20130718,DM,F,37,Y
8,20130819,DO,F,52,Y
3,20131017,DO,F,33,Y
3,20131017,DO,F,50,Y
9,20131210,DO,F,40,Y
1,20131210,DO,M,45,Y
8,20131211,DO,F,41,Y
9,20131112,DS,F,117,Y
11,20131113,DS,F,126,Y
17,20131113,DS,M,132,N
14,20131113,DS,F,113,N
11,20131113,DS,F,122,Y
4,20131113,DS,F,107,Y
4,20131113,DS,F,115,Y
1,20140109,DM,M,40,Y
1,20140109,DM,F,36,Y
1,20140313,DM,F,51,Y
1,20140313,DM,F,44,Y
1,20140313,DS,F,146,Y
2,20140108,NA,abs,abs,NA
2,20140108,DM,M,44,Y
2,20140108,PF,F,7,Y
2,20140108,DM,M,45,Y
2,20140108,OT,abs,abs,NA
2,20140108,DS,M,157,N
2,20140108,OX,abs,abs,NA
2,20140218,NA,M,218,N
2,20140218,PF,F,7,Y
2,20140218,DM,M,52,Y
3,20140311,PF,M,8,Y
3,20140408,NA,F,abs,NA
3,20140506,abs,abs,abs,NA
3,20140518,NA,F,182,Y
3,20140609,OT,F,29,Y
3,20140708,NA,F,115,Y
3,20140708,NA,M,190,Y
4,20140108,DM,F,37,Y
4,20140108,DM,M,abs,NA
4,20140108,DM,F,48,Y
4,20140108,DO,M,52,Y
4,20140108,OL,M,35,Y
